Timestamp,voltage_1,voltage_2,voltage_3
42669.6400244389,-1.136418,-0.000334,0.273191
42669.6400244505,-1.135168,-2.2e-05,0.272566
42669.640024462,-1.134543,-2.2e-05,0.273191
42669.6400244736,-1.133605,-2.2e-05,0.277253
42669.6400244852,-1.133918,-0.000646,0.277878
42669.6400244968,-1.134543,-2.2e-05,0.276003
42669.6400245083,-1.136731,0.000291,0.276316
42669.6400245199,-1.137668,0.000291,0.276003
42669.6400245315,-1.139543,-2.2e-05,0.276316
42669.6400245431,-1.142356,0.000291,0.277253
42669.6400245546,-1.143606,-2.2e-05,0.277566
42669.6400245662,-1.145169,0.000291,0.276316
42669.6400245778,-1.145169,-2.2e-05,0.276628
42669.6400245894,-1.145482,-0.000334,0.276628
42669.6400246009,-1.145482,-0.000334,0.276316
42669.6400246125,-1.145169,-0.000334,0.275378
42669.6400246241,-1.142669,0.000291,0.277253
42669.6400246356,-1.141731,-0.000334,0.278191
42669.6400246472,-1.140168,0.000291,0.276316
42669.6400246588,-1.137668,-2.2e-05,0.275378
42669.6400246704,-1.13548,0.000291,0.272878
42669.6400246819,-1.134543,-0.000334,0.273503
42669.6400246935,-1.134855,0.000291,0.273191
42669.6400247051,-1.133605,-2.2e-05,0.276316
42669.6400247167,-1.133918,0.000603,0.273816
42669.6400247282,-1.134855,-2.2e-05,0.276003
42669.6400247398,-1.137043,0.000291,0.276316
42669.6400247514,-1.137981,-0.000334,0.276628
42669.640024763,-1.139543,-0.000334,0.277253
42669.6400247745,-1.141731,-2.2e-05,0.276628
42669.6400247861,-1.143606,-0.000334,0.276316
42669.6400247977,-1.144544,-0.000334,0.276003
42669.6400248093,-1.145169,-0.000334,0.279128
42669.6400248208,-1.145794,0.000603,0.273503
42669.6400248324,-1.145482,-2.2e-05,0.274753
42669.640024844,-1.144544,-0.000334,0.278816
42669.6400248556,-1.142669,-2.2e-05,0.271316
42669.6400248671,-1.142044,0.000915,0.270378
42669.6400248787,-1.140168,-2.2e-05,0.275691
42669.6400248903,-1.137981,-2.2e-05,0.276316
42669.6400249019,-1.136105,0.000291,0.275066
42669.6400249134,-1.134855,-2.2e-05,0.272878
42669.640024925,-1.134543,-2.2e-05,0.272878
42669.6400249366,-1.133605,-0.000334,0.275691
42669.6400249481,-1.133918,-0.000334,0.282566
42669.6400249597,-1.134855,-2.2e-05,0.276628
42669.6400249713,-1.136731,0.000291,0.277878
42669.6400249829,-1.137981,-0.000334,0.275691
42669.6400249944,-1.139543,-0.000334,0.276003
42669.640025006,-1.141731,0.000291,0.276003
42669.6400250176,-1.143606,-2.2e-05,0.275066
42669.6400250292,-1.144544,-2.2e-05,0.274441
42669.6400250407,-1.145169,-0.000334,0.276941
42669.6400250523,-1.146419,-0.000646,0.272566
42669.6400250639,-1.145482,0.000603,0.276628
42669.6400250755,-1.144856,-0.000958,0.281316
42669.640025087,-1.142981,-0.001583,0.279128
42669.6400250986,-1.141419,-0.000958,0.280066
42669.6400251102,-1.139543,-2.2e-05,0.276628
42669.6400251218,-1.137981,-2.2e-05,0.276316
42669.6400251333,-1.135793,0.000291,0.275691
42669.6400251449,-1.134543,-2.2e-05,0.273191
42669.6400251565,-1.134543,-2.2e-05,0.273816
42669.6400251681,-1.133918,0.000603,0.273503
42669.6400251796,-1.133918,-2.2e-05,0.273503
42669.6400251912,-1.134543,-2.2e-05,0.275378
42669.6400252028,-1.136731,-0.000334,0.275691
42669.6400252144,-1.137668,-2.2e-05,0.277253
42669.6400252259,-1.139231,-2.2e-05,0.276941
42669.6400252375,-1.141419,-2.2e-05,0.276628
42669.6400252491,-1.143294,0.000603,0.276941
42669.6400252607,-1.144856,-0.000334,0.275691
42669.6400252722,-1.144856,-0.000958,0.280066
42669.6400252838,-1.145794,0.000603,0.271628
42669.6400252954,-1.145169,-2.2e-05,0.282253
42669.6400253069,-1.144544,-0.000646,0.276003
42669.6400253185,-1.142981,0.000291,0.273191
42669.6400253301,-1.141419,0.000291,0.275691
42669.6400253417,-1.140481,0.000291,0.276316
42669.6400253532,-1.137356,-2.2e-05,0.276003
42669.6400253648,-1.136105,0.000291,0.274753
42669.6400253764,-1.134543,-2.2e-05,0.273191
42669.640025388,-1.13423,0.000291,0.273191
42669.6400253995,-1.133605,-2.2e-05,0.273503
42669.6400254111,-1.133918,-2.2e-05,0.279128
42669.6400254227,-1.134543,-0.000646,0.276941
42669.6400254343,-1.136418,0.000603,0.277566
42669.6400254458,-1.137668,-2.2e-05,0.276003
42669.6400254574,-1.139231,-2.2e-05,0.279128
42669.640025469,-1.141419,-2.2e-05,0.276628
42669.6400254806,-1.143294,0.000603,0.277878
42669.6400254921,-1.144231,0.000291,0.281316
42669.6400255037,-1.144544,0.000603,0.276628
42669.6400255153,-1.146107,-0.000334,0.276941
42669.6400255269,-1.145482,0.000603,0.273191
42669.6400255384,-1.144544,0.000291,0.277878
42669.64002555,-1.142981,-0.000646,0.275691
42669.6400255616,-1.141419,-2.2e-05,0.273503
42669.6400255731,-1.139856,0.000291,0.275378
42669.6400255847,-1.137981,-0.000334,0.276628
42669.6400263927,-1.140793,-2.2e-05,0.274753
42669.6400264043,-1.142981,0.000291,0.275066
42669.6400264158,-1.143919,-2.2e-05,0.275378
42669.6400264274,-1.144856,-0.000334,0.276003
42669.640026439,-1.145482,-0.000334,0.275378
42669.6400264506,-1.145169,-2.2e-05,0.275066
42669.6400264621,-1.144544,-0.000334,0.274753
42669.6400264737,-1.142981,-2.2e-05,0.275691
42669.6400264853,-1.141419,-2.2e-05,0.275691
42669.6400264968,-1.139856,-2.2e-05,0.273816
42669.6400265084,-1.138293,0.000603,0.274128
42669.64002652,-1.135793,-2.2e-05,0.277566
42669.6400265316,-1.134543,0.000915,0.277878
42669.6400265431,-1.134543,-2.2e-05,0.276003
42669.6400265547,-1.133293,-0.000334,0.276628
42669.6400265663,-1.133293,-2.2e-05,0.276628
42669.6400265779,-1.134543,-2.2e-05,0.275378
42669.6400265894,-1.135793,-2.2e-05,0.274441
42669.640026601,-1.137668,0.000291,0.274753
42669.6400266126,-1.138606,0.000291,0.273816
42669.6400266242,-1.140793,0.000291,0.273816
42669.6400266357,-1.142981,-2.2e-05,0.275066
42669.6400266473,-1.143919,-2.2e-05,0.275066
42669.6400266589,-1.144856,-2.2e-05,0.276003
42669.6400266705,-1.145482,0.000291,0.276628
42669.640026682,-1.145169,-2.2e-05,0.275691
42669.6400266936,-1.144544,0.000291,0.276003
